Word,Meaning,Examples/0,Examples/1,Examples/2,Examples/3,Examples/4,Examples/5,Examples/6,Examples/7,Examples/8,Examples/9
Mental,relating to the mind or to the health or state of one's mind,The teacher’s mental strength was tested when the principal was observing her.,Her mental health was in question after she began hallucinating.,The therapist was studying how she could help those with a mental illness.,"After training for her new job, her mental capacity reached its limit.","After watching too many horror films, the young woman’s fear was presumably mental.",,,,,
Mentality,a pattern of thought,The stern preacher’s mentality was that any music other than Christian music had sinful overtones.,"Whenever my wife doesn’t get what she wants, she displays a child’s mentality by having a tantrum.",The tribe’s mentality views outsiders as being carriers of disease and dangerous technologies.,"Since my adult dog has a puppy’s mentality, she tends to whine all night if she isn’t allowed to sleep on our bed.",My mother has a helicopter mentality that causes her to hover around me constantly.,,,,,
Mention,to make a short reference to something,I will mention to your father when he calls me from work that he needs to take you to your baseball game tonight.,,,,,,,,,
Mentor,someone who teaches or gives advice to someone less experienced,"Because she was a new teacher, Betsy needed a mentor to show her how to set up her classroom.","Serving as a mentor for the youth, Spencer is always there to lead and give a helping hand.",Jake and his mentor talk on the phone often and he often receives guidance from his teacher on ways to do well at school.,"Because there are so many new employees, all of the new staff will be assigned a mentor to help them learn their new positions.","With no mentor to guide him, the struggling student ended up dropping out of school due to lack of support.",,,,,
Mephitic,Bad-smelling; having a foul odor especially of gas or vapor,The car’s mephitic fumes choked up the passengers in a nearby sedan.,"Passing by the mephitic industrial hole, the children held their noses to avoid the stench.",Burning trash produced a mephitic odor that was extremely foul.,"Because the food wouldn’t digest in his stomach, the man developed mephitic gas that smelled horrible.",The mephitic landscape was a rotting wasteland that smelled like burning flesh.,,,,,
Mercantile,concerned with the buying and selling of goods for money,"I joined our family’s mercantile business, buying and selling paper goods.","The food show is mercantile, with everyone competing for business.","Downtown used to be very mercantile, with merchants selling their products.","Jack has a mercantile mentality, so he’s fine if you haggle on price.",The mercantile tribe members trade their lumber in exchange for protection.,,,,,
Mercantilism,an economic system in which a nation tries to become more affluent by exporting more goods than it brings into the country and by protecting its store of precious metals,One of the reasons England developed the colonies under mercantilism was to increase its trading territory.,"Because the country wants to buy less goods from other nations, it is following an economic policy based on mercantilism.",Companies who do business primarily by selling imported products are destroying the government’s goal of mercantilism.,"When the government placed the embargo on products from China, it did so in hopes of protecting its program of mercantilism.",Mercantilism has produced several trade deficits among nations with some countries exporting very few goods.,,,,,
Mercenary,"motivated by private gain, regardless of ethics or laws; greedy","Following his employer’s instructions, the mercenary killed the woman and her baby without a second thought.","As long as you pay a mercenary, he will do anything you ask.",A nun is the type of person who would never be viewed as mercenary because she does not care about money.,"Because James is a mercenary, he is motivated by financial gain.",The villain in the movie was a mercenary combatant who would fight anyone for a monetary prize.,"According to the newspaper, the man hired a mercenary to kill his ex-wife.",The company president was a mercenary man who had no problem firing his employees to increase his own salary.,"If Jason wants to be a mercenary, he will have to forget about morals and follow the orders of the person signing his paychecks.",The mercenary restaurant manager is trying to cut costs by selling inferior meat as prime cuts.,"Although the young woman swore she loved the old man, everyone knew the marriage was a mercenary one."
Merch,a shortened form of the word merchandise (products that people sell),We went to the clothing store for new merch but didn’t find any eye-catching pieces.,Thieves stole thousands of dollars of merch from the company’s warehouse.,Merch boxes filled with shoes are shipped directly from the factory to the customers.,,,,,,,
Merchant,one who trades in goods to earn a profit,The greedy merchant raised the price of bread and milk during the blizzard.,"When one local merchant donated blankets to the homeless shelter, he inspired other store owners to give.",The online merchant charges a fee to process credit card payments.,"Because the merchant who runs the store makes me feel uncomfortable, I prefer to shop elsewhere.",The antique merchant sells Asian vases.,,,,,
Merciful,compassionate and generous,"After winning the lottery, the merciful winner donated every penny of her winnings to the homeless shelter.","During the war, the merciful nuns hid as many Jews from the Nazis as possible even though they could have been sent to the concentration camps.","Following the destructive earthquake, merciful rescuers dug through rubble to search for strangers.",,,,,,,
Merciless,without mercy. ruthless and unforgiving,"The merciless sun of the desert will quickly drain all travelers of both water and will, ensuring a painful demise if one does not enter its sands prepared.","A merciless warrior on the field of battle takes no prisoners, not sparing his foes even when they surrender to him.","I hoped my girlfriend would take it easy on me in the game we were playing, but she was absolutely merciless in crushing me.","Merciless people have no sympathy or pity for those that suffer, and they certainly won’t go out of their way to lose anything themselves in order to aid them.","I usually have sympathy for those weaker than me, but when it comes to competitive games I am completely merciless.",,,,,
Merciless,cruel and without mercy or pity,The merciless dictator killed everyone that went against his regime.,"Even though he appeared merciless, the ruthless warrior had a soft spot for children.","Throwing all the people out of his castle, the merciless king showed that he had sympathy for no one.",The merciless CEO let the company crash and burn with no regards for the employees who would lose their jobs.,"A merciless critic, the art reviewer spoke horribly about the artist’s latest piece.",,,,,
Mercurial,subject to sudden or unpredictable changes,"Because Mary is taking a new medication, her moods have become quite mercurial and change with the wind.","While my uncle is as predictable as the sunrise, my aunt is very mercurial.","As my sister has mercurial moods, we never know how she will be feeling from one moment to the next.",Eddie’s personality becomes mercurial when he drinks too much.,"Since the truce between the two countries is only temporary, most people consider the situation to be mercurial.",The trending topics on Twitter are mercurial because they often change within seconds.,Many sports fans are mercurial and show very little loyalty to their favorite teams.,"Even though my movie tastes are mercurial and vary with my mood, I can always make time for a comedy film.","Ever since my daughter turned thirteen, she has been displaying a mercurial personality which alters from one minute to another.",I avoid my mercurial roommate because her sudden mood swings concern me.
Mercy,"tendency towards forgiveness, pity and kindness",Beth’s strict parents showed mercy after she missed her curfew because she helped a stranded female motorist by jump starting her car battery.,,,,,,,,,
Mere,in regards to an individual or thing that is viewed as unimportant or small,"Although Bailey was a mere boy, he knew he would become a world leader one day.",The god laughed as he destroyed mere mortals with a snap of his fingers.,"Though Liam was expected to win the election by a large margin, a mere forty votes separated him from his rival.",The children were frustrated when their baseball team won a mere two games.,Can you believe the company charges ten dollars for the product when it costs them only a mere dollar to make it?,,,,,
Merely,"only, just, and nothing more","The knight wondered how he, being merely a man, could hope to defeat the dragon.","Being merely a merchant, the man was honored when the King requested to see him.","Since he had merely $10 to his name, he was extremely grateful when the man offered to pay for his lunch.","Having merely a small stock of food, he could not help but worry he would run out too soon.",Merely watching a video about a subject does not make you an expert.,"The boy was merely a child when his parents died, leaving him unprepared for their sudden death.","Many founders of the United States were merely farmers, but that didn’t stop them from achieving their goals.","Merely a country boy, the college freshman could not help but feel overwhelmed as he entered the big city.","With merely minutes to go in the game, the football players felt there was no way they could catch up.","Though he merely had the clothes on his back and a dream, the young immigrant would not let himself fail."
Meretricious,tastelessly showy; attractive on the surface but having in reality no value or substance; falsely alluring,"Because of Christie’s meretricious style of dressing, she has often been mistaken for a prostitute and has received a number of indecent proposals.","If my mother-in-law didn’t decorate her house with so many meretricious knickknacks, it would be a more comfortable place to visit.",Adding those flamboyant earrings to such a colorful skirt gives your entire outfit a meretricious effect.,This writer usually writes with such a meretricious style that his books are only published in paperback.,Buying that flashy sports car was just his meretricious way of showing his ex-wife that he was doing fine without her.,"As the editor of a prestigious fashion magazine, Claudia will fire any staff members who dress or behave in a meretricious way.","Even though the lyrics of his new song have a meretricious crudeness, the melody is haunting enough to attract a lot of listeners.","Compared to the clean, straightforward prose of his earlier works, this author’s new style of using excessive profanity and sexual imagery is just a lot of meretricious garbage.","I can tell you about the gossip I heard today, but we’d better leave the meretricious details for after the kids have gone to bed.","As the aging actress became desperate for any kind of work, she began to accept parts in some of the meretricious B movies she had previously rejected."
Merge,to come together into one unit,"When the struggling nursery was about to go bankrupt, it decided to merge with the seed store since they both were in the same business.","To merge two files together into one file, several buttons must be clicked in a certain order of a document.","To determine what the couple’s child would look like, a special software program could merge two photographs together.","When Ms. Slump got sick in the middle of class, the principal decided to merge her class with Ms. Dawson’s class since it was too late to get a substitute.",The car began to merge onto the interstate from the entrance ramp by fitting his car in between two cars.,,,,,
Merger,the joining of two things into one,The merger of the two companies happened in February when the smaller corporation joined the larger.,"After the merger of the two airlines, less staff was needed and many of the employees were let go.",The merger of the two distribution centers meant that there would now be only one major supplier in the area.,"Refusing to accept the merger, the company’s CEO said he would drop dead before he joined his company with his rival’s.","Under the merger agreement, the two struggling schools would join as one institution.",,,,,
Meridian,an imaginary line that passes from the North Pole to the South Pole,The equator and the prime meridian are imaginary lines used to find longitude and latitude on a map.,The globe shows a meridian running from the top of the North Pole to the bottom of the South Pole.,"To find where you are going, follow the map’s meridian to the correct coordinate.",,,,,,,
Meringue,a pie topping that is browned after being made from beaten egg whites and sugar,Edith whipped up a meringue to be added to the list of sweet and light treats.,"Adding sugar and egg whites, the pastry chef stirred the meringue until it was ready for baking.",The meringue on top of the pie was mostly white but did have a tinge of brown from the oven.,My grandma’s meringue pie recipe includes beaten egg whites and a sugary mixture added to a crust.,"While making the sweet meringue, make sure that you beat the egg whites carefully before adding sugar.",,,,,
Merit,something that deserves to be recognized or praised,Jill earned an award of merit for never missing a day of school in twelve years.,"If the prizes are based on artistic merit, I am not sure my uninspired creation has a chance in the contest.",People at our firm earn promotions through merit not through favoritism.,"Because April is married to the defendant, the jury is not giving her confirmation of his alibi much merit.","The dancers in the competition are rated on several factors including program difficulty, experience, and creative merit.",,,,,
Meritocracy,"a system in which the leaders are chose based on intellect, talent, or merit, not other factors such as race, popularity, or economic status",Mr. Young longed to live in a meritocracy where the leaders of the free world were the ones who earned their places based on their accomplishments.,The school honor’s club was a meritocracy where the leaders were chosen because of their academic achievements.,"In this imaginary meritocracy, it was those with the highest IQs that ran the country.",The mayor insisted the town be run like a meritocracy and would only hire the most talented individuals for open positions.,"We wished our city was a meritocracy, but here it’s not what you know but who you know.",,,,,
Meritorious ,deserving of rewards or praise,"Of all his achievements, winning the gold medal was definitely his most meritorious.","Having gotten an “A” in all of his classes, the teenager felt he had proven himself meritorious.","Though he had not won first place, he felt his efforts were still meritorious.","The child handed his father a drawing he had done in crayon, hoping it was meritorious.","Everyone wants their work to be meritorious, but many fall short due to lack of effort.","For someone running their first marathon, simply finishing is meritorious.","Getting first place is certainly meritorious, but many argue that mere honorable mention is not.","Though he won the fight, his many advantages made him feel less than meritorious.","Having led his team to another victory, the coach could not help but feel meritorious.","Though not his most meritorious performance, the musician was proud to hear the applause of his fans."
Merriment,"laughter, happiness, and enjoyment",The party was filled with the wonderful sounds of merriment.,Our teacher was against merriment of any kind during a test.,My social anxiety often prevented me from participating in the merriment.,"When I hang out with my friends, the merriment never ends.","When my father collapsed at his birthday party, the merriment ceased.",,,,,
Mesh,to connect or lock together,The band can’t seem to mesh well together and continuously play off key.,"Linda and her best friend’s personalities mesh well together, so they rarely argue.","Because the students’ ideas didn’t mesh well, they had a hard time completing the project.",,,,,,,
Mesmerized,captivated by something or someone,"Because Jennifer was mesmerized by the author’s writing style, she purchased all of his books.",The bright lights of the city mesmerized the girl from the small town.,"With its exciting plot and lovable characters, the film mesmerized children of all ages.",The media sought to keep the country mesmerized by reporting on the hottest topics of the day.,"As soon as the bachelor saw the stunning young woman, he was mesmerized and could not stop staring.",The handsome candidate mesmerized the voters and easily won the election.,"When the orchestra started playing, I was immediately mesmerized by the lovely tune.",Jim knew it was time to get married when he found a woman who completely mesmerized him.,"During the show, the talented dancer mesmerized Ginger with his fancy footwork.","Because I was mesmerized by the view of the ocean, I spent most of my vacation on the hotel balcony."
Mesosphere,an area between two layers in the Earth’s atmosphere where it gets colder as the elevation increases,In the mesosphere the alien spaceship recorded the increasing temperatures every few minutes in this layer as it came closer to Earth.,Humans could not travel into the mesosphere even in a spaceship since it can get as cold at negative 200 degrees Fahrenheit at the furthest distance from the Earth.,"Since the mesosphere is too cold to survive, NASA will frequently only send its spacecraft to the neighboring Earth’s stratosphere.","As technology increases, rockets and higher tech aircrafts are becoming capable of entering the mesosphere since they can endure lower and lower temperatures as they travel through it.","When you enter the mesosphere, you will experience the coldest temperatures of the Earth’s atmosphere but it will get colder the further you travel into this layer.",,,,,
Message,usually a brief form of communication sent to someone in form of written or spoken,"If I can’t answer my phone when you call, please leave me a message and I will call you back.",,,,,,,,,
Messenger,"a person who delivers someone a message, packages or documents",The law firm sent a messenger to pick up the documents from their clients business office.,,,,,,,,,
Messiah,one who is thought to be the savior of a certain group,Many of the politician’s followers see him as a messiah who will fix all of their problems.,"All of Christ’s followers declared him to be the messiah, sent by God to save the nation.",The religious zealots prayed that the messiah would ascend from heaven and save them from all harm.,"The pop mogul was a messiah to her fans, many of them following her as if she were a goddess.","Doubters held that although Jesus was a great speaker, he was not the messiah come to save sinners of the world.",,,,,
Meta,a prefix added to a word to explain that one thing is related to other things,The meta-search sites found on the internet all link to the same information.,"As part of the meta-analysis, the researchers pulled data from several related sources.",A number of similar products fall into the household meta-category.,,,,,,,
Metabolism,the chemical reactions which cause fat cells and/or calories to burn ,Jan can eat anything without gaining weight because of her fast metabolism.,"According to scientists, active individuals tend to have faster rates of metabolism.",Hank is obese because he has a very slow metabolism.,"If you boost your metabolism, your body may burn more fat and trigger the weight loss you desire.",Certain drugs and alcohol can have an adverse effect on a person’s metabolism.,,,,,
Metabolize,to break down food in the body so it can be used for energy,"His body didn’t metabolize iron normally, so he took an iron supplement daily.",There are pills on the market that promise to help people metabolize food more efficiently into energy instead of fat.,"When you take in food, vitamins, and minerals, your body will metabolize them.","Human kidneys do not metabolize the caramel color in most dark sodas because it is manufactured in a process using ammonia, which can lead to kidney damage over time.","The older you get, the harder it is for your body to metabolize what you take in, resulting in age-related weight gain.",,,,,
Metamorphosis,an observable change,"When Chet started exercising on a regular basis, he experienced a huge physical metamorphosis.",The new siding gave the residence a metamorphosis that transformed it into a new dwelling.,"During this particular metamorphosis, the caterpillar becomes a butterfly.",The metamorphosis has produced many visible changes.,"As soon as my daughter entered her teen years, she experienced a metamorphosis that produced a sizable breast enlargement.","In the film, the man went through a metamorphosis that turned him into a fly.","After the metamorphosis, the two-lane highway will become a four-lane highway.",It was amazing to watch the young man’s metamorphosis as he changed from a skinny young man into a bulky football player.,"From birth to death, the human body goes through many stages of metamorphosis.","In a recent science lab, we observed the tadpole’s metamorphosis into a frog."
Metaphor,"the use of a word or phrase something that it is not, invoking a direct similarity between them and the thing described",He uses the metaphor of fire to represent hatred.,,,,,,,,,
Metaphysical,associated with what is believed to be present yet not visible,"In the book, the main character spoke to a metaphysical being he couldn’t see.",The mentally challenged boy spent most of his days in a metaphysical world inhabited by fairies and good witches.,"As an atheist, John views worshipping an unseen god as a metaphysical waste.",Having a metaphysical outlook on life would require one to believe in things unseen.,"While the girl believes in alternate worlds, her parents view her ideas as metaphysical fancies.",,,,,
Metastasize,to spread or grow to other sites,The idea of revolution began to metastasize and spread like wildfire from Moscow to the impoverished Russian countryside.,"What started as a rumor began to metastasize and travel from her classmates to social media, effectively destroying her reputation.",The doctor informed the patient that her cancer had started to metastasize from the small area in her stomach to the bone.,The dog owner was devastated to discover that her puppy’s cancer began to metastasize too quickly to operate and he would have to be put to sleep.,"Hitler’s ideas of hate and racial superiority festered and began to metastasize, spreading from Germany to many other countries in Central and Eastern Europe.",,,,,
Mete,to give out or distribute,"After being caught stealing, the boy waited for his father to mete out his punishment.",The judge will mete out very harsh sentences when he’s in an unpleasant mood.,"Since more guests arrived than we expected, we had to mete out small portions of food.",The budget cuts decreased the amount each school had to mete out for supplies.,The principal loves to mete out diplomas at the end of the school year,,,,,
Meteor,"a piece of debris from space that enters Earth’s atmosphere and becomes luminescent due to friction, appearing as a streak of light","The satellite from outer space become a meteor as it fell into the atmosphere, coming alight with flame.","A chunk of rock entered our atmosphere just a few minutes ago, becoming a meteor as the friction of its entry set it on fire.","Whenever you see a shooting star, you are really seeing a meteor, a piece of debris from outer space that has been set on fire by the friction of its atmospheric entry.","Pretty much anything can become a meteor, provided that it lasts long enough to streak across the sky once it is on fire.","For a brief moment, you can even consider a shuttle a meteor, since it catches fire very briefly when it reenters Earth’s atmosphere.",,,,,
Meter,the basic unit of length in the metric system,A metric ruler was used to measure the shelf to the nearest meter.,The bookshelf was a meter too long to fit into the tiny space.,"Using a meter stick, the student was able to measure all of the angles in the room.",,,,,,,
Method,a procedure or technique used to accomplish as task,My simple method to cake baking is different from most pastry baker’s techniques.,The teacher came up for an easier method of teaching students to multiply and used that procedure instead.,"Reading through the book, the builder searched from a simpler method for laying the home’s foundation.","In the early 1900s, a scientist came up with a much-needed method to stop children from getting sick from certain sicknesses.",Each method for solving the problem has a step by step process for getting the correct answer.,,,,,
Methodical,in an ordered manner,My husband is very organized and has a methodical approach for doing every task.,"Because Hank is very methodical, he is going to be a brilliant surgeon.",Jim’s methodical plan showed he was more than capable of building his own home.,"As a detective, Chris always uses a methodical approach to catch the killer.",The scientist was a methodical man who had no problems following the ordered steps of his experiments.,"To identify the cause of a fire, investigators use a methodical process of elimination.",Most libraries are organized by a methodical system called the Dewey Decimal system.,"Even though I do not consider myself a methodical person by nature, I like having order and consistency in my life.",The ants work together in a methodical manner to carry food back to the colony.,"Because Jim has an obsessive-compulsive disorder, he makes even a simple task like setting the table a methodical event."
Meticulous,showing great attention to detail; very careful and precise,"Because Haley is a meticulous cleaner, every inch of her house is spotless.",This accounting job requires a meticulous person.,"Although Jennifer was a meticulous student, she still had difficulty organizing her essay.",Henry is known for being very meticulous with his personal hygiene.,"When it came to getting ready for a role, the actor was quite meticulous in his preparation.","Because of his meticulous skill, Dr. Jameson is considered to be one of the best surgeons in the country.", The government records were meticulous and well-organized.,"Even though the celebrity was meticulous about matching her clothing with her accessories, she still made the worst dressed list.","As a sculptor, Alan was especially meticulous about the materials he used.","Because Sarah was meticulous about her appearance, she spent hours brushing her hair."
Metonymy,a form of speech in which the title of a thing or person is used to replace a name associated with it ,"When you refer to the film industry as Hollywood, you’re using a metonymy by calling one subject a name that equates to it.",A metonymy is basically the substitution of one term for another term.,"Since Bill is used to being called a suit by his friends who don’t have office jobs, he isn’t offended by the use of the metonymy.",Did you know a commonly used metonymy for the cheerleading team is squad?,"When a guy refers to his car as his ride, he is using a metonymy.",,,,,
Metropolis,"a large, heavily populated city","Accustomed to country life, the farmer had a difficult time adjusting to his new home in a metropolis.",The growing metropolis was gearing up for the census.,Every major roadway in the metropolis was swamped with traffic.,The metropolis was bustling with visitors attending the Olympic Games.,The mayor of the metropolis was seeking to improve the city’s parks.,,,,,
Mettle,strength of spirit; the ability to continue despite difficulties,"Of all the young men in the village, Caldor was the only one with enough mettle to face the dragon in its lair.","To prove his mettle and show that he was daring enough to join the club, Timmy had to spend an hour alone in the haunted house on the hill.","Even though all members of the navy have high levels of fortitude and courage, candidates for Navy Seal training must exhibit far more mettle than average.","Because Aaron has carried the team for most of the season, his injury will test the mettle of his teammates to see if they can win any games without him.",The enduring quality of a classic literary work is the best way to define the mettle of an author.,"In order to judge the mettle of his new recruits, the coach had them run through a battery of physical tests before they played a practice game.",Maxwell joined several boards of directors in order to prove his mettle as a community leader.,You should be congratulated for showing your mettle and coming through such a difficult situation with your head high.,"When the prototype of the new spaceship was finished, the team tested its mettle by simulating a trip to Mars.","While we have always thought of Andres as a coward, he has more than proven his mettle by saving his neighbor’s cat from the burning house."
Milieu,the environment in which one experiences life,"Because my father grew up in a military milieu, he knew he wanted to join the armed forces when he graduated from high school.",Jane’s marriage before sex belief stems from her upbringing in a religious milieu.,"As the son of a legendary pianist, Henry grew up in a musical milieu.",Gregory’s quiet upbringing in the milieu of the monastery had not prepared him for the culture of the big city.,"During his sermon, the minister spoke of a spiritual milieu in which money and social class were nonexistent.","Sitting alone at lunch, Kim realized the milieu of the college was unlike the high school environment where she had been very popular.","When Eileen’s millionaire father declared bankruptcy, she and her family were forced into a different social milieu.",The homeless girl surprised everyone when she focused on her education and earned a place in a collegiate milieu.,"Although the minister thought he was ready to be a congressman, he was unprepared for the greed and deception of the political milieu.","Under the caste system in India, people rarely moved from one social milieu to another."
Militant,prone to engage in conflict for a belief or cause,"Since the militant group believes the president is a brutal dictator, it is crafting a plan to remove him from office.",The militant man was willing to die to protect his religious freedom.,"If attacked by the police, the militant protestors have been told to fight for their lives.",The anti-abortion militant group is claiming responsibility for the bombing of the doctor’s home.,"Because membership in the militant group is low, the members are trying to recruit people who are willing to fight for their beliefs.",The gang members assumed a militant posture when they saw another gang approaching their turf.,"Although the militant leader of the religious sect claimed to be working for a higher power, he was actually plotting against the government.",The militant pilots were willing to kill themselves to promote their cause.,"In his younger years, my father was very militant and often participated in activities that challenged the status quo.",The militant president of the teacher’s union has proposed a nationwide strike until salaries are increased.
Militarism,"an ideology which claims that the military is the foundation of a society's security, and thereby its most important aspect","Because he was a veteran, many of his political ideals followed a form of militarism.",Those who believe in militarism are not put off by the idea of war.,The militarism of our neighbor annoyed my peace-loving family.,His militarism was evident in his strictly followed routine.,"Even though I believed in militarism, I was happy when the war was declared to be over.",,,,,
Military,the armed forces of a country,"Without a military, a country cannot wage war with another for lack of soldiers and weapons to wage it with.","The military of Russia has more tanks in its arsenal than any other nation in the world, including the United States.","The strength of a military lies not only in how many soldiers it has, but how skilled and well-equipped they are.","The military of the United States is comprised of the Army, Navy, Air Force, Marines, and Coast Guard.","The armed forces of a country is considered its military, and includes all of the nation’s soldiers and war machines.",,,,,
Militate,to influence or have an effect upon ,The rain will militate a change of venue for our picnic.,"During the meeting, the principal’s attitude will militate whether or not teachers feel like giving their honest opinions.",My boyfriend’s prison sentence is going to militate the length of our relationship.,"In business, the demand will usually militate the product’s price.",Kara’s failure to graduate from high school is sure to militate her ability to get a decent job.,,,,,
Militia,a military force of trained and organized civilians who may be called to duty,The militia was assigned to assist the police until the National Guard troops arrived.,"To rid their country of a dictator, a group of rebels organized a militia to overthrow the tyrant.",The governor has called upon the militia to assist families relocating during the hurricane evacuation.,"In the small town, the militia is often called in to help search for escaped prisoners.",The country’s unofficial militia is referred to as the People’s Army.,,,,,
Mill,"a manufacturing plant for paper, steel, textiles, etc.",Our local paper mill mostly hire people through a temp agency for short-term contracts.,,,,,,,,,
Millennium,a period that covers one thousand years,The year 2000 saw the end of another millennium.,Next Tuesday will be the church’s millennium celebration of its first one thousand years of existence.,One millennium is equivalent to ten centuries.,Do you believe flying cars will exist within the next millennium or will it take us more than a thousand years to reach that level of advancement?,The environmental group’s millennium goal involves planting fifty thousand new trees over a thousand-year period.,,,,,
Millipede,bug whose skeleton is on the outside of its body and is known for having many legs,"As the millipede crossed the room, the children were mesmerized by all of his little appendages transporting his body across the floor.","After squashing the millipede with my shoe, a few dozen of his legs fell off but at least he still had several dozen still attached.","No one seemed scared of the small millipede, but having numerous little limbs grossed out the women.","Observing the millipede from afar, the man thought the insect’s body was surrounded by hair until he saw them move the body of the insect.","Even though both creepy crawly critters have lots of limbs on both sides of their bodies, the millipede was safe but the centipede was poisonous.",,,,,
Milquetoast,a fearful or shy individual,"As the milquetoast quietly shuffled down the street with his shoulders hunched, his eyes would dart around hoping no one would see him.","Being a new student at school, the milquetoast worried about the first day of school trying not to draw attention to himself.","Once the milquetoast conquered her dread of being in a large crowd, she would now speak up to express her opinion confidently.","Becoming very embarrassed whenever anyone looked at him, the milquetoast would look away and keep to himself at school.",Very few people knew the milquetoast who answered the phones in the front office due to a lack of anyone associating with her.,,,,,
Mime,a performer that uses movements and gestures instead of words to express something or tell a story,The face-painted mime used its hands to pretend that it was stuck in a box while performing for the children.,"During the play, the mime uttered no sounds but instead used his body to tell a story to the audience.",A mime was hired by the circus to make the families laugh with his silly pantomime movements and gestures.,,,,,,,
Mimic,to imitate,"Bert can mimic the barking of a dog to perfection, scaring thieves away from his property.",I hate when people try to mimic my high pitched and shrill voice.,"Because I am a weak hitter, I try to mimic Adam’s forceful swing.",The architecture of our home was designed to mimic a similar style found in Paris.,"Whenever I am in a bad mood, I try to mimic the grunting sounds that my least favorite teacher makes when she gets irritated.",,,,,
Mimicry,the act of mirroring an action or behavior,"During the talent show, the boy won the audience over when he performed a mimicry of his favorite rapper.",Bill acted out the perfect mimicry of a woman when he pranced down the aisle wearing high heels and a tight dress.,"When the student started to talk like the teacher during a mimicry, she made her classmates laugh.",The comedian’s strongest talent is her ability to sound like other people in a mimicry.,"Through a mimicry, a toddler will often imitate his parents’ actions.",,,,,
Minatory,expressing a threat,The hate group left a minatory threat in the form of a burning cross on the couple’s lawn.,"Although the message seemed minatory, the student swore that it was joke and not a threat.",My boss’s minatory emails always seemed to be a mix of threatening and intimidating.,"Looking at his wife with a minatory glance, the abusive husband threatened her into keeping quiet.",A series of minatory statements was enough to prove to the jury that some series threats had been made by the defendant.,,,,,
Mince,finely chopped,When we cook we will mince the onions and peppers so they will enhance the flavor of the meat and not overpower the meats overall taste.,,,,,,,,,
Mincing,"dainty and refined, especially in the way that one walks",The woman spoke to her precious pup in a sweet and mincing voice.,"As they stepped onto the ballroom floor, the dainty young women took mincing steps.","Mincing in the way that she walks, the secretary likes to attract the attention of everyone in the office.",The ballerina took mincing steps on her tip-toes as she moved across the stage.,"Being careful not to fall off the ledge, the painter took mincing steps as he touched up the third story building.",,,,,
Mindful,"thoughtful, considerate and dutiful","Since the child was burned by a fire, the teacher told the other students to be mindful of their classmate’s feelings by refraining from talking about the blaze.","When the hurricane caused much destruction, everyone was mindful of the victims’ needs by donating money, food, clothing and time.","Since I didn’t want to say anything to offend anyone with my playful jokes, I decided to be mindful of my words at the funeral.","When Leslie entered the home of the college president, she knew to be mindful of her manners since he was an important community leader.",Carrie couldn’t gain any more weight in order to fit into her wedding dress so Carrie was mindful of her food intake.,,,,,
Mindless,to be done without explanation or care for the results of the actions,The criminal committed mindless acts of violence where innocent people were hurt.,Mindless shopping was done by the bankrupted woman who bought trivial things for her house.,It was mindless eating for the man who decided to eat as many hotdogs as possible even though there were starving homeless people down the street.,,,,,,,
Mindset,an established set of attitudes and beliefs that someone holds,"A person’s mindset is often determined by how they have been raised and the experiences they have had, though the way they think can change over time.",A soldier is often of the mindset that he might have to kill other people to protect his own comrades and his country.,"I am of the mindset that there’s no reason to put off things I can do now to instead do later, since it will require the same amount of time and effort regardless.","For several decades in the past, the United States had an isolationist mindset that stopped them from getting involved in the foreign affairs of other countries, including major wars.","The mindset of a sniper is one of silence and stealth, staying completely still for hours on end or more just to line up the perfect shot.",,,,,
Mingle,To mix or combine (people or objects) ,The spies decided to mingle in with the crowd and see if they could find the killer.,"Mixing the stir-fry, the chef decided to mix in some chicken with the vegetables.",Royals never mingle with the common folk but prefer to stick to their class.,John was able to mingle with the other students and ended up feeling right at home at college.,"Guests began to mingle at the bar, talking with strangers and friends about the weather and politics.",,,,,
Miniature,petite in size compared to a larger representation of the item,A miniature model of the castle was created with modeling clay and made it easy to see what the whole castle looked like.,"Miniature Eiffel Tower toys were sold on the shelves of the gift store, but they were difficult to see the details that one could see on the actual landmark.","Even though the miniature horses could not be ridden due to their small height and weight, they were just as strong enough to pull a cart like the regular horses.",Tiny sprigs from plants and blades of grass were used in the miniature garden to depict a scene of shrubs but it could sit on a tray on the dining room table.,Our miniature rat terrier looked about half the length and weighed about one-third of the mass of a full-grown regular-sized terrier.,,,,,
Minimal,likely the smallest amount ,"With minimal supervision, the employee was supposed to work by himself and pose only limited questions to the boss.",There was only a minimal chance of acquiring the contagious disease since everyone had been completely vaccinated with the most recent medication.,"While negotiating the sale of the house, the frugal buyers wanted to pay the minimal price that the homeowners would take.","Since the children were already struggling with learning, the move to a new school should present as minimal changes as possible so it would not cause additional problems for the children.","Living with minimal provisions, the family on the deserted island was only able to survive by eating a small meal a day.",,,,,
Minimum,the smallest or lowest of something,"Since the minimum age requirement to ride the amusement park’s roller coaster was 12, the 11-year old had to wait for her friends on the ground.","If you drive over the minimum speed limit of 55 on the highway, you take the risk of receiving a speeding ticket from the police.",I took the job at the fast food restaurant because the sign stated that I would make a minimum amount of $8 per hour and I could live off of that money.,The job requirements included a bachelor’s degree and a minimum experience of three years in the field but having more experience would be beneficial to the candidate.,"Parking in this parking lot costs $2 per hour with a minimum amount of $3, so I realized that I would need to park there for over an hour for it to be worth the cost.",,,,,
